,class,iou,experiment
0,general_object,0.0,baseline_fast
1,vehicle,18.69,baseline_fast
2,pedestrian,9.61,baseline_fast
3,sign,1.79,baseline_fast
4,cyclist,7.22,baseline_fast
5,traffic_light,0.68,baseline_fast
6,pole,4.34,baseline_fast
7,construction_cone,4.05,baseline_fast
8,bicycle,1.04,baseline_fast
9,motorcycle,0.0,baseline_fast
10,building,8.08,baseline_fast
11,vegetation,7.78,baseline_fast
12,tree_trunk,3.52,baseline_fast
13,road,35.56,baseline_fast
14,walkable,20.1,baseline_fast
15,free,92.02,baseline_fast
16,mIoU,13.41,baseline_fast
0,general_object,0.0,strong_aug
1,vehicle,18.36,strong_aug
2,pedestrian,9.62,strong_aug
3,sign,1.99,strong_aug
4,cyclist,3.34,strong_aug
5,traffic_light,1.72,strong_aug
6,pole,3.96,strong_aug
7,construction_cone,4.21,strong_aug
8,bicycle,0.01,strong_aug
9,motorcycle,0.0,strong_aug
10,building,8.33,strong_aug
11,vegetation,7.57,strong_aug
12,tree_trunk,3.13,strong_aug
13,road,26.19,strong_aug
14,walkable,18.98,strong_aug
15,free,91.46,strong_aug
16,mIoU,12.43,strong_aug
0,general_object,0.0,sgd
1,vehicle,16.88,sgd
2,pedestrian,7.79,sgd
3,sign,1.4,sgd
4,cyclist,1.01,sgd
5,traffic_light,0.01,sgd
6,pole,3.4,sgd
7,construction_cone,0.13,sgd
8,bicycle,0.0,sgd
9,motorcycle,0.0,sgd
10,building,7.37,sgd
11,vegetation,5.46,sgd
12,tree_trunk,2.32,sgd
13,road,33.92,sgd
14,walkable,19.6,sgd
15,free,92.29,sgd
16,mIoU,11.97,sgd
0,general_object,0.0,lr_5e4
1,vehicle,0.58,lr_5e4
2,pedestrian,0.0,lr_5e4
3,sign,0.0,lr_5e4
4,cyclist,0.0,lr_5e4
5,traffic_light,0.0,lr_5e4
6,pole,0.0,lr_5e4
7,construction_cone,0.0,lr_5e4
8,bicycle,0.0,lr_5e4
9,motorcycle,0.0,lr_5e4
10,building,0.0,lr_5e4
11,vegetation,0.0,lr_5e4
12,tree_trunk,0.0,lr_5e4
13,road,18.77,lr_5e4
14,walkable,4.75,lr_5e4
15,free,92.56,lr_5e4
16,mIoU,7.29,lr_5e4
